_id,author_details,title,isbn,publisher,date_published,rating,read,series_details,pages,notes,list_price,format,description,genre,language,date_added,last_update_date,book_uuid
190,"Bryson, Bill","Short History of Nearly Everything, A",552151742,Black Swan,2004,0,0,,688,,,Paperback,"Bill Bryson describes himself as a reluctant traveler, but even when he stays safely at home he can't contain his curiosity about the world around him. A Short History of Nearly Everything is his quest to understand everything that has happened from the Big Bang to the rise of the civilization - how we got from there, being nothing at all, to here, being us. The ultimate eye-opening journey through time and space, reveling the world in a way most of us have never seen it before.",,English,2017-10-16 21:21:02,2017-10-16 21:21:02,8a4f0a97e050ef120385df3d72592ec5
191,"Greenwald, Bruce C.N.|Kahn, Judd|Sonkin, Paul D.|Biema, Michael van|Greenwald, Bruce C. N.",Value Investing: From Graham to Buffett and Beyond,9780471463399,John Wiley & Sons,2004-01-26,0,0,,311,,,Paperback,"From the ""guru to Wall Street's gurus"" comes the fundamental techniques of value investing and their applications<br /> Bruce Greenwald is one of the leading authorities on value investing. Some of the savviest people on Wall Street have taken his Columbia Business School executive education course on the subject. Now this dynamic and popular teacher, with some colleagues, reveals the fundamental principles of value investing, the one investment technique that has proven itself consistently over time. After covering general techniques of value investing, the book proceeds to illustrate their applications through profiles of Warren Buffett, Michael Price, Mario Gabellio, and other successful value investors. A number of case studies highlight the techniques in practice.<br /> Bruce C. N. Greenwald (New York, NY) is the Robert Heilbrunn Professor of Finance and Asset Management at Columbia University. Judd Kahn, PhD (New York, NY), is a member of Morningside Value Investors. Paul D. Sonkin (New York, NY) is the investment manager of the Hummingbird Value Fund. Michael van Biema (New York, NY) is an Assistant Professor at the Graduate School of Business, Columbia University.",Business & Economics / Investments & Securities / General,,2017-10-16 21:28:58,2017-10-16 21:28:58,4344cd39774a163dcdb56eab3f30304f
192,"Buffett, Warren|Buffett, Warren E.","Essays of Warren Buffett: Lessons for Corporate America, The",9780966446111,Cardozo Law Review,2001-04-01,0,0,,246,,25,Unknown Binding,<div><div><b>NOTE: THIS EDITION IS OUT OF DATE AND OUT OF PRINT.    </b></div><div><b></b></div><div><b>THE 3rd EDITION (2013) I</b><b>S AVAILABLE FOR PURCHASE VIA AMAZON.</b></div><div><b></b></div><div><b>CUSTOMER REVIEWS BELOW MAY STILL BE OF INTEREST / USE. </b></div></div>,,English,2017-10-16 21:29:14,2017-10-16 21:29:14,e071d5e2aae112b242856b2e22288860
193,"Graham, Benjamin|Bogle, John C.","Intelligent Investor: The Classic Text on Value Investing, The",9780060752613,HarperBusiness,2005-05-03,0,0,,304,,35,Hardcover,"The greatest investment advisor of the twentieth century, Benjamin Graham taught and inspired people worldwide. Graham's philosophy of ""value investing"" -- which shields investors from substantial error and teaches them to develop long-term strategies -- has made <em>The Intelligent Investor</em> the stock market bible ever since its original publication in 1949.",,English,2017-10-16 21:29:31,2017-10-16 21:29:31,3d8289ce233eb6b82a22654c94b87661
194,"Graham, Benjamin|Meredith, Spencer|Meredith, Spencer B.","Interpretation of Financial Statements: The Classic 1937 Edition, The",9780887309137,HarperBusiness,1998-05-06,0,0,,144,,30,Hardcover,"<blockquote>""All investors, from beginners to old hands, should gain from the use of this guide, as I have.""<br />From the Introduction by Michael F. Price, president, Franklin Mutual Advisors, Inc.</blockquote>Benjamin Graham has been called the most important investment thinker of the twentieth century. As a master investor, pioneering stock analyst, and mentor to investment superstars, he has no peer.<br /><br />The volume you hold in your hands is Graham's timeless guide to interpreting and understanding financial statements. It has long been out of print, but now joins Graham's other masterpieces, <em>The Intelligent Investor</em> and <em>Security Analysis,</em> as the three priceless keys to understanding Graham and value investing.<br /><br />The advice he offers in this book is as useful and prescient today as it was sixty years ago. As he writes in the preface, ""if you have precise information as to a company's present financial position and its past earnings record, you are better equipped to gauge its future possibilities. And this is the essential function and value of security analysis.""<br /><br />Written just three years after his landmark <em>Security Analysis, The Interpretation of Financial Statements</em> gets to the heart of the master's ideas on value investing in astonishingly few pages. Readers will learn to analyze a company's balance sheets and income statements and arrive at a true understanding of its financial position and earnings record. Graham provides simple tests any reader can apply to determine the financial health and well-being of any company.<br /><br />This volume is an exact text replica of the first edition of <em>The Interpretation of Financial Statements,</em> published by Harper &amp; Brothers in 1937. Graham's original language has been restored, and readers can be assured that every idea and technique presented here appears exactly as Graham intended.<br /><br />Highly practical and accessible, it is an essential guide for all business people--and makes the perfect companion volume to Graham's investment masterpiece <em>The Intelligent Investor. </em>",Business & Economics / General,English,2017-10-16 21:29:58,2017-10-16 21:29:58,a664f509c8b7b6578cb59b101105194d
195,"Thiel, Peter|Masters, Blake","Zero to One: Notes on Startups, or How to Build the Future",9780804139298,Crown Business,2014-09-16,0,0,,195,,,Hardcover,"If you want to build a better future, you must believe in secrets.<br /><br />The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In <b>\n  <i>Zero to One</i>\n</b>, legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things. <br /><br />Thiel begins with the contrarian premise that we live in an age of technological stagnation, even if we’re too distracted by shiny mobile devices to notice. Information technology has improved rapidly, but there is no reason why progress should be limited to computers or Silicon Valley. Progress can be achieved in any industry or area of business. It comes from the most important skill that every leader must master: learning to think for yourself.<br /><br />Doing what someone else already knows how to do takes the world from 1 to n, adding more of something familiar. But when you do something new, you go from 0 to 1. The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won’t make a search engine. Tomorrow’s champions will not win by competing ruthlessly in today’s marketplace. They will escape competition altogether, because their businesses will be unique. <br /><br /><i>Zero to One</i> presents at once an optimistic view of the future of progress in America and a new way of thinking about innovation: it starts by learning to ask the questions that lead you to find value in unexpected places.",,,2017-10-16 21:30:12,2017-10-16 21:30:12,48fcf9ceb40721fdd66a880ee0365dbe
196,"Fried, Jason|Hansson, David Heinemeier",Rework,9780307463746,Crown Business,2010-03-09,0,0,,279,,26,Hardcover,"Most business books give you the same old advice: Write a business plan, study the competition, seek investors, yadda yadda. If you're looking for a book like that, put this one back on the shelf.<br /><br /><i>Rework </i>shows you a better, faster, easier way to succeed in business. Read it and you'll know why plans are actually harmful, why you don't need outside investors, and why you're better off ignoring the competition. The truth is, you need less than you think. You don't need to be a workaholic. You don't need to staff up. You don't need to waste time on paperwork or meetings. You don't even need an office. Those are all just excuses. <br /><br /> What you really need to do is stop talking and start working. This book shows you the way. You'll learn how to be more productive, how to get exposure without breaking the bank, and tons more counterintuitive ideas that will inspire and provoke you.<br /><br />With its straightforward language and easy-is-better approach, <i>Rework </i>is the perfect playbook for anyone who’s ever dreamed of doing it on their own. Hardcore entrepreneurs, small-business owners, people stuck in day jobs they hate, victims of ""downsizing,"" and artists who don’t want to starve anymore will all find valuable guidance in these pages.",Self-Help / Personal Growth / Success,English,2017-10-16 21:30:23,2017-10-16 21:30:23,3f56427ccc4a9c8b3affc220dfb083d0
197,"Schwartz, Peter","Art Of The Long View:  Planning For The Future In An Uncertain World, The",9780385267328,Currency Doubleday,1996-04-15,0,0,,272,,19,Paperback,"<p>What increasingly affects all of us, whether professional planners or individuals preparing for a better future, is not the tangibles of life—bottom-line numbers, for instance—but the intangibles: our hopes and fears, our beliefs and dreams. Only stories—scenarios—and our ability to visualize different kinds of futures adequately capture these intangibles.<br><br>In <i>The Art of the Long View,</i> now for the first time in paperback and with the addition of an all-new User's Guide, Peter Schwartz outlines the ""scenaric"" approach, giving you the tools for developing a strategic vision within your business.<br><br>Schwartz describes the new techniques, originally developed within Royal/Dutch Shell, based on many of his firsthand scenario exercises with the world's leading institutions and companies, including the White House, EPA, BellSouth, PG&E, and the International Stock Exchange.</p>",Business & Economics / Corporate & Business History,English,2017-10-16 21:30:45,2017-10-16 21:30:45,db0b92fa344932d80704970e71a871ae
198,"Moore, Geoffrey A.|McKenna, Regis",Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,9780060517120,HarperBusiness,2006-07-25,0,0,,211,,,Paperback,"Here is the bestselling guide that created a new game plan for marketing in high-tech industries. Crossing the Chasm has become the bible for bringing cutting-edge products to progressively larger markets. This edition provides new insights into the realities of high-tech marketing, with special emphasis on the Internet. It's essential reading for anyone with a stake in the world's most exciting marketplace.",,,2017-10-16 21:31:00,2017-10-16 21:31:00,3f9c65c3f6c15fef9607c5e47115e807
199,"Moore, Geoffrey A.","Inside the Tornado: Strategies for Developing, Leveraging, and Surviving Hypergrowth Markets",9780060745813,HarperBusiness,2005-12-27,0,0,Collins Business Essentials,272,,16.99,Paperback,"In this, the second of Geoff Moore's classic three-part marketing series, Moore provides highly useful guidelines for moving products beyond early adopters and into the lucrative mainstream market. Updated for the HarperBusiness Essentials series with a new author's note.<br /><br />Once a product ""crosses the chasm"" it is faced with the ""tornado,"" a make or break time period where mainstream customers determine whether the product takes off or falls flat. In <em>Inside the Tornado</em>, Moore details various marketing strategies that will teach marketers how reach these customers and how to take advantage of living inside the tornado in order to reap the benefits of mainstream adoption.",Business & Economics / Sales & Selling / General,English,2017-10-16 21:31:12,2017-10-16 21:31:12,97a601daff92a7364142a0e4f4721ebb
200,"Collins, James C.|Collins, Jim",Good to Great: Why Some Companies Make the Leap... and Others Don't,9780066620992,HarperBusiness,2001-10-16,0,0,,320,,32.5,Hardcover,"To find the keys to greatness, Collins's 21-person research team read and coded 6,000 articles, generated more than 2,000 pages of interview transcripts and created 384 megabytes of computer data in a five-year project. The findings will surprise many readers and, quite frankly, upset others.<br /><br />The Challenge<br />Built to Last, the defining management study of the nineties, showed how great companies triumph over time and how long-term sustained performance can be engineered into the DNA of an enterprise from the very beginning. <br /><br />But what about the company that is not born with great DNA? How can good companies, mediocre companies, even bad companies achieve enduring greatness? <br /><br />The Study<br />For years, this question preyed on the mind of Jim Collins. Are there companies that defy gravity and convert long-term mediocrity or worse into long-term superiority? And if so, what are the universal distinguishing characteristics that cause a company to go from good to great?<br /><br />The Standards<br />Using tough benchmarks, Collins and his research team identified a set of elite companies that made the leap to great results and sustained those results for at least fifteen years. How great? After the leap, the good-to-great companies generated cumulative stock returns that beat the general stock market by an average of seven times in fifteen years, better than twice the results delivered by a composite index of the world's greatest companies, including Coca-Cola, Intel, General Electric, and Merck. <br /><br />The Comparisons<br />The research team contrasted the good-to-great companies with a carefully selected set of comparison companies that failed to make the leap from good to great. What was different? Why did one set of companies become truly great performers while the other set remained only good? <br /><br />The Findings<br />The findings of the Good to Great study will surprise many readers and shed light on virtually every area of management strategy and practice. The findings include:<br />Level 5 Leaders: The research team was shocked to discover the type of leadership required to achieve greatness.<br /><br />The Hedgehog Concept (Simplicity within the Three Circles): To go from good to great requires transcending the curse of competence.<br /><br />A Culture of Discipline: When you combine a culture of discipline with an ethic of entrepreneurship, you get the magical alchemy of great results. Technology Accelerators: Good-to-great companies think differently about the role of technology.<br /><br />The Flywheel and the Doom Loop: Those who launch radical change programs and wrenching restructurings will almost certainly fail to make the leap.",Business & Economics / Corporate & Business History,English,2017-10-16 21:31:26,2017-10-16 21:31:26,2254cc40bb381ea3f84ffc5c3c6366e8
201,"Dixit, Avinash K.|Nalebuff, Barry J.|Nalebuff, Barry","Art of Strategy: A Game Theorist's Guide to Success in Business and Life, The",9780393337174,W. W. Norton & Company,2010-01-04,0,0,,512,,18.95,Paperback,"<b>“I am hard pressed to think of another book that can match the combination of practical insights and reading enjoyment.”—Steven Levitt</b><br /><br />Game theory means rigorous strategic thinking. It’s the art of anticipating your opponent’s next moves, knowing full well that your rival is trying to do the same thing to you. Though parts of game theory involve simple common sense, much is counterintuitive, and it can only be mastered by developing a new way of seeing the world. Using a diverse array of rich case studies—from pop culture, TV, movies, sports, politics, and history—the authors show how nearly every business and personal interaction has a game-theory component to it. Mastering game theory will make you more successful in business and life, and this lively book is the key to that mastery.",Mathematics / Game Theory,English,2017-10-16 21:31:39,2017-10-16 21:31:39,c9f298315eb40cffe1436b68e2c9054e
202,"Assessment, Millennium Ecosystem|(Program), Millennium Ecosystem Assessment",Ecosystems and Human Well-Being: Synthesis,9781597260404,Island Press,2005-05-22,0,0,Millennium Ecosystem Assessment Series,160,,25,Paperback,"The Millennium Ecosystem Assessment Synthesis Report boils down the findings of the four working groups into a simple, straightforward description of Earth's ecological health and its linkages to human well-being. It answers a series of key questions, such as How have ecosystems changed over the past 50 years? What are the most critical factors causing ecosystem damage? What options do we have for better conserving, restoring, and benefiting from ecosystems? The volume then presents a snapshot of the health and prospects for each of the main services that ecosystems provide, including the provision of food, water, timber, fuel, climate regulation, disease prevention, and others. The Synthesis Report will prove ideal for students and laypersons interested in a quick, but nuanced, understanding of the state of Earth's ecosystems.",Science / Environmental Science,English,2017-10-17 18:22:16,2017-10-17 18:22:16,702f88ccebbc36d4aacfe5ace6dd760d
203,"Ehrlich, Paul R.|Ehrlich, Anne H.|Ehrlich, Paul  R.","One With Nineveh: Politics, Consumption, and the Human Future",9781559638791,Island Press,2004-05-01,0,0,,464,,50,Hardcover,"Named a Notable Book for 2005 by the American Library Association, <i>One with Nineveh</i> is a fresh synthesis of the major issues of our time, now brought up to date with an afterword for the paperback edition. Through lucid explanations, telling anecdotes, and incisive analysis, the book spotlights the three elephants in our global living room-rising consumption, still-growing world population, and unchecked political and economic inequity-that together are increasingly shaping today's politics and humankind's future. <i>One with Nineveh</i> brilliantly puts today's political and environmental debates in a larger context and offers some bold proposals for improving our future prospect.",Political Science / Public Policy / Environmental Policy,English,2017-10-17 18:22:34,2017-10-17 18:22:34,4057bacebef603cf64c17ed0499570fc
204,"Ehrlich, Paul R.|Ehrlich, Anne H.|Ehrlich, Paul  R.",Betrayal of Science and Reason: How Anti-Environmental Rhetoric Threatens Our Future,9781559634830,Island Press,1996-08-01,0,0,,348,,50,Hardcover,"Scientists Paul and Anne Ehrlich, present a science-based response to those who argue that efforts to protect the global environment have gone too far.",Science / Environmental Science,English,2017-10-17 18:22:44,2017-10-17 18:22:44,6c7a7cf5e8b1fd07bb48da3211052801
205,"Ehrlich, Paul R.|Ehrlich, Anne H.|Ehrlich, Paul  R.","Dominant Animal: Human Evolution and the Environment, The",9781597260961,Island Press,2008-06-30,0,0,,440,,50,Hardcover,"In humanity’s more than 100,000 year history, we have evolved from vulnerable creatures clawing sustenance from Earth to a sophisticated global society manipulating every inch of it. In short, we have become the dominant animal. Why, then, are we creating a world that threatens our own species? What can we do to change the current trajectory toward more climate change, increased famine, and epidemic disease?<br />  <br /> Renowned Stanford scientists Paul R. Ehrlich and Anne H. Ehrlich believe that intelligently addressing those questions depends on a clear understanding of how we evolved and how and why we’re changing the planet in ways that darken our descendants’ future. The Dominant Animal arms readers with that knowledge, tracing the interplay between environmental change and genetic and cultural evolution since the dawn of humanity. In lucid and engaging prose, they describe how Homo sapiens adapted to their surroundings, eventually developing the vibrant cultures, vast scientific knowledge, and technological wizardry we know today.<br />  <br /> But the Ehrlichs also explore the flip side of this triumphant story of innovation and conquest. As we clear forests to raise crops and build cities, lace the continents with highways, and create chemicals never before seen in nature, we may be undermining our own supremacy. The threats of environmental damage are clear from the daily headlines, but the outcome is far from destined. Humanity can again adapt—if we learn from our evolutionary past.<br />  <br /> Those lessons are crystallized in The Dominant Animal. Tackling the fundamental challenge of the human predicament, Paul and Anne Ehrlich offer a vivid and unique exploration of our origins, our evolution, and our future.",Social Science / Human Geography,English,2017-10-17 18:22:58,2017-10-17 18:22:58,313f0c833d71b3b653c7823515aa4a23
206,"Wilson, Edward O.","Meaning of Human Existence, The",9780871401007,Liveright Publishing,2014-10-06,0,0,The Anthropocene Epoch (2),207,,23.95,Hardcover,"How did humanity originate and why does a species like ours exist on this planet? Do we have a special place, even a destiny in the universe? Where are we going, and perhaps, the most difficult question of all, ""Why?""<br /><br />In <em>The Meaning of Human Existence</em>, his most philosophical work to date, Pulitzer Prize–winning biologist Edward O. Wilson grapples with these and other existential questions, examining what makes human beings supremely different from all other species. Searching for meaning in what Nietzsche once called ""the rainbow colors"" around the outer edges of knowledge and imagination, Wilson takes his readers on a journey, in the process bridging science and philosophy to create a twenty-first-century treatise on human existence—from our earliest inception to a provocative look at what the future of mankind portends.<br /><br />Continuing his groundbreaking examination of our ""Anthropocene Epoch,"" which he began with <em>The Social Conquest of Earth</em>, described by the <em>New York Times</em> as ""a sweeping account of the human rise to domination of the biosphere,"" here Wilson posits that we, as a species, now know enough about the universe and ourselves that we can begin to approach questions about our place in the cosmos and the meaning of intelligent life in a systematic, indeed, in a testable way.<br /><br />Once criticized for a purely mechanistic view of human life and an overreliance on genetic predetermination, Wilson presents in <em>The Meaning of Human Existence</em> his most expansive and advanced theories on the sovereignty of human life, recognizing that, even though the human and the spider evolved similarly, the poet's sonnet is wholly different from the spider's web. Whether attempting to explicate ""The Riddle of the Human Species,"" ""Free Will,"" or ""Religion""; warning of ""The Collapse of Biodiversity""; or even creating a plausible ""Portrait of E.T.,"" Wilson does indeed believe that humanity holds a special position in the known universe.<br /><br />The human epoch that began in biological evolution and passed into pre-, then recorded, history is now more than ever before in our hands. Yet alarmed that we are about to abandon natural selection by redesigning biology and human nature as we wish them, Wilson soberly concludes that advances in science and technology bring us our greatest moral dilemma since God stayed the hand of Abraham.",,English,2017-10-17 18:23:19,2017-10-17 18:23:19,174df154922a58039a5aa7ec9c6f6ac9
207,"Greene, Brian","Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory, The",9780375708114,Vintage,1999,0,0,,425,,,Paperback,"In a rare blend of scientific insight and writing as elegant as the theories it explains, Brian Greene, one of the world's leading string theorists, peels away the layers of mystery surrounding string theory to reveal a universe that consists of eleven dimensions, where the fabric of space tears and repairs itself, and all matter—from the smallest quarks to the most gargantuan supernovas—is generated by the vibrations of microscopically tiny loops of energy.<br /><br />Greene uses examples ranging from an amusement park ride to ants on a garden hose to illustrate the beautiful yet bizarre realities that modern physics is unveiling. Dazzling in its brilliance, unprecedented in its ability to both illuminate and entertain, The Elegant Universe is a tour de force of science writing—a delightful, lucid voyage through modern physics that brings us closer than ever to understanding how the universe works.",Science / Physics / General,English,2017-10-17 18:24:14,2017-10-17 18:24:14,a5409192cd7b19af174cb877e84d786e
208,"Darwin, Charles|Bynum, William",On the Origin of Species,9780140439120,Penguin Classics,2009-09-03,0,0,Penguin Classics,516,,14,Paperback,"Written for a general readership, <i>On the Origin of Species</i> sold out on the day of its publication and has remained in print ever since. Instantly, and persistently, controversial, it transformed scientific thinking about all life on earth. Before the <i>Origin</i>, accepted thought held that life was the static and perfect creation of God. By a single, systematic argument Darwin called this view into question. His ideas have since affected public perception of everything from religion to economics.<br /><br />William Bynum's introduction discusses Darwin's life, the publication and reception of <i>On the Origin of Species</i>, and subsequent development of its major themes. This edition also includes brief biographies of some of the most important scientific thinkers leading up to and surrounding the Origin, suggested further reading, notes and a chronology.",Science / Philosophy & Social Aspects,English,2017-10-17 18:24:26,2017-10-17 18:24:26,5daf06ada5097257ea00a4888e2dc732
209,"Hawking, Stephen|Mlodinow, Leonard","Grand Design, The",9780553805376,Bantam,2010-09-07,0,0,,199,,28,Hardcover,"THE FIRST MAJOR WORK IN NEARLY A DECADE BY ONE OF THE WORLD’S GREAT THINKERS—A MARVELOUSLY CONCISE BOOK WITH NEW ANSWERS TO THE ULTIMATE QUESTIONS OF LIFE<br /> <br />When and how did the universe begin? Why are we here? Why is there something rather than nothing? What is the nature of reality? Why are the laws of nature so finely tuned as to allow for the existence of beings like ourselves? And, finally, is the apparent “grand design” of our universe evidence of a benevolent creator who set things in motion—or does science offer another explanation? <br /><br />The most fundamental questions about the origins of the universe and of life itself, once the province of philosophy, now occupy the territory where scientists, philosophers, and theologians meet—if only to disagree. In their new book, Stephen Hawking and Leonard Mlodinow present the most recent scientific thinking about the mysteries of the universe, in nontechnical language marked by both brilliance and simplicity. <br /><br />In <i>The Grand Design</i> they explain that according to quantum theory, the cosmos does not have just a single existence or history, but rather that every possible history of the universe exists simultaneously. When applied to the universe as a whole, this idea calls into question the very notion of cause and effect. But the “top-down” approach to cosmology that Hawking and <br /><br />Mlodinow describe would say that the fact that the past takes no definite form means that we create history by observing it, rather than that history creates us. The authors further explain that we ourselves are the product of quantum fluctuations in the very early universe, and show how quantum theory predicts the “multiverse”—the idea that ours is just one of many universes that appeared spontaneously out of nothing, each with different laws of nature.<br /><br />Along the way Hawking and Mlodinow question the conventional concept of reality, posing a “model-dependent” theory of reality as the best we can hope to find. And they conclude with a riveting assessment of M-theory, an explanation of the laws governing us and our universe that is currently the only viable candidate for a complete “theory of everything.” If confirmed, they write, it will be the unified theory that Einstein was looking for, and the ultimate triumph of human reason.<br /><br />A succinct, startling, and lavishly illustrated guide to discoveries that are altering our understanding and threatening some of our most cherished belief systems, <i>The Grand Design</i> is a book that will inform—and provoke—like no other.",,English,2017-10-17 18:24:37,2017-10-17 18:24:37,972386754ee38a3853ad591bc3ace4d1
210,"Hawking, Stephen|Sagan, Carl|Hawking, Stephen W.","Brief History of Time, A",055305340X,Bantam Books,1988-03-01,0,0,,198,,27.95,Hardcover,"Stephen Hawking, one of the most brilliant theoretical physicists in history, wrote the modern classic <i>A Brief History of Time</i> to help non-scientists understand fundamental questions of physics and our existence: where did the universe come from? How and why did it begin? Will it come to an end, and if so, how?<br /><br />Hawking attempts to deal with these questions (and where we might look for answers) using a minimum of technical jargon. Among the topics gracefully covered are gravity, black holes, the Big Bang, the nature of time and physicists' search for a grand unifying theory. <br /><br />This is deep science; the concepts are so vast (or so tiny) that they cause mental vertigo while reading, and one can't help but marvel at Hawking's ability to synthesize this difficult subject for people not used to thinking about things like alternate dimensions. The journey is certainly worth taking for as Hawking says, the reward of understanding the universe may be a glimpse of “the mind of God”.<br />(From Hawking.org.uk)<br /><br /><br /><i>A Brief History of Time</i>, published in 1988, was a landmark volume in science writing and in world-wide acclaim and popularity, with more than 9 million copies in print globally. The original edition was on the cutting edge of what was then known about the origins and nature of the universe. But the ensuing years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic world—observations that have confirmed many of Hawking's theoretical predictions in the first edition of his book. Now a decade later, this edition updates the chapters throughout to document those advances, and also includes an entirely new chapter on Wormholes and Time Travel and a new introduction. It makes vividly clear why <i>A Brief History of Time</i> has transformed our view of the universe. (Refers to later editions)",Science / Cosmology,English,2017-10-17 18:31:12,2017-10-17 18:31:12,8fa1924f4c448ae4491da03f5d5776b3
211,"Hawking, Stephen|Hawking, Stephen W.",Black Holes and Baby Universes and Other Essays,9780553374117,Bantam Books,1994,0,0,,196,,,,"Readers worldwide have come to know the work of Stephen Hawking through his phenomenal million-copy hardcover best-seller A ""Brief History Of Time"". Bantam is proud to present the paperback edition of Dr. Hawking's first new book since that event, a collection of fascinating and illuminating essays, and a remarkable interview broadcast by the BBC on Christmas Day, 1992. These fourteen pieces reveal Hawking variously as the scientist, the man, the concerned world citizen, and-always-the rigorous and imaginative thinker. Hawking's wit, directness of style, and absence of pomp characterize all of them, whether he is remembering his first experience at nursery school; calling for adequate education in science that will enable the public to play its part in making informed decisions on matters such as nuclear disarmament; exploring the origins or the future of the universe; or reflecting on the history of ""A Brief History Of Time. Black Holes And Baby Universes"" is an important work from one of the greatest minds of the twentieth century. ""[Hawking] sprinkles his explanations with a wry sense of humor and a keen awareness that the sciences today delve not only into the far reaches of the cosmos, but into the Inner philosophical world as well"".- ""New York Times Book Review""",Science / Physics / General,,2017-10-17 18:31:36,2017-10-17 18:31:36,da782343d3c4a7a244e23e46579bb4b8
212,"Dubos, Rene|Roberts, Gladys","Wooing of Earth New Perspectives on Man's Use of Nature, The",684169517,Scribner's,1980,0,0,,102,,,Paperback,,Technology & Engineering / Mining,,2017-10-17 18:33:05,2017-10-17 18:33:05,73f387511a91a07deb82cd2691e44ca1
213,"Watson, Robert",Environment and Development Challenges,9784130671200,University of Tokyo Press,2014,0,0,,284,,,,"The Blue Planet Prize, awarded by the Asahi Glass Foundation, is one of the world's oldest and most prestigious international honors for scientists and researchers in environmental studies. This book features contributions from recent award winners eager to add their voices to the global debate over contemporary environmental and sustainable-development issues. They also discuss the correlation among environmental degradation, poverty, and violence.",,,2017-10-17 23:42:55,2017-10-17 23:42:55,9b69bb058c66e187c72d0fef1b116832
214,"Stephenson, Neal",Snow Crash,9780553380958,Bantam Books,2000-08-02,0,0,,470,,,Paperback,"In reality, Hiro Protagonist delivers pizza for Uncle Enzo’s CosoNostra Pizza Inc., but in the Metaverse he’s a warrior prince. Plunging headlong into the enigma of a new computer virus that’s striking down hackers everywhere, he races along the neon-lit streets on a search-and-destroy mission for the shadowy virtual villain threatening to bring about infocalypse. Snow Crash is a mind-altering romp through a future America so bizarre, so outrageous…you’ll recognize it immediately.",Fiction / Science Fiction / Hard Science Fiction,,2017-10-19 19:46:48,2017-10-19 19:46:48,5012c51c0659ee43e6597b534a90ce95
215,"McCullough, David",1776,9780743226721,Simon & Schuster,2006-06-27,0,0,,386,,17.85,Paperback,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.<br /><br />Based on extensive research in both American and British archives, <i>1776</i> is a powerful drama written with extraordinary narrative vitality. It is the story of Americans in the ranks, men of every shape, size, and color, farmers, schoolteachers, shoemakers, no-accounts, and mere boys turned soldiers. And it is the story of the King's men, the British commander, William Howe, an his highly disciplined redcoats who looked on their rebel foes with contempt and fought with a valor too little known.<br /><br />At the center of the drama, with Washington, are two young American patriots, who, at first, knew no more of war than what they had read in books - Nathaniel Green, a Quaker who was made a general at thirty-three, and Henry Knox, a twenty-five-year-old bookseller who had the preposterous idea of hauling the guns of Fort Ticonderoga overland to Boston in the dead of Winter.<br /><br />But it is the American commander-in-chief who stands foremost - Washington, who had never before led an army in battle. Written as a companion work to his celebrated biography of John Adams, David McCullough's <i>1776</i> is another landmark in the literature of American history.",History / United States / Revolutionary Period (1775-1800),English,2017-10-19 19:47:01,2017-10-19 19:47:01,a42bf5a379d8511f821b6d4bd2560612
216,"Updike, John",Bech at Bay,9780375403682,Knopf,1998-10-13,0,0,Bech|Quasi-Novels,240,,23,Hardcover,"Henry Bech, the moderately well known Jewish-American writer who served as the hero of John Updike’s previous <i>Bech: A Book</i> (1970) and <i>Bech Is Back</i> (1982), has become older but scarcely wiser. In these five new chapters from his life, he is still at bay, pursued by the hounds of desire and anxiety, of unbridled criticism and publicity in a literary world ever more cheerfully crass. He fights intimations of annihilation in still-Communist Czechoslovakia, while promiscuously consorting with dissidents, apparatchiks, and Midwestern Republicans. Next, he succumbs to the temptations of power by accepting the presidency of a quaint and cosseted honorary body patterned on the Académie Française. Then, the reader finds him on trial in California and on a criminal rampage in a gothic Gotham, abetted by a nubile sidekick called Robin. Lastly, our septuagenarian veteran of the literary wars is rewarded with a coveted medal, stunning him into a well-deserved silence. It’s not easy being Henry Bech in the post-Gutenbergian world, but somebody has to do it, and he brings to the task an indomitable mixture of grit and ennui.",Fiction / Literary,English,2017-10-19 19:47:46,2017-10-19 19:47:46,1a4607073372a8e69a618ebbac33994b
217,"Updike, John",Rabbit Redux,449209342,Fawcett,1985-07-12,0,0,Rabbit Angstrom (2),352,,5.99,Mass Market Paperback,"The assumptions and obsessions that control our daily lives are explored in tantalizing detail by master novelist John Updike in this wise, witty, and sexy story. Harry Angstrom--known to all as Rabbit, one of America's most famous literary characters--finds his dreary life shattered by the infidelity of his wife, Janice. How he resolves or further complicates his problems makes for a novel of the first order.",Fiction / Psychological,English,2017-10-19 19:48:17,2017-10-19 19:48:17,e71223013a886a9be224b2c6a81f47a5
